{'episode': 155, 'reward': 250.4000000000001, 'avg_reward': np.float64(392.42599999999993), 'epsilon': np.float64(0.47943269940758027), 'max_position': 88, 'steps': 501}
{'episode': 156, 'reward': 245.6999999999996, 'avg_reward': np.float64(392.5649999999998), 'epsilon': np.float64(0.47708672316106365), 'max_position': 70, 'steps': 501}
{'episode': 157, 'reward': 1149.0000000000002, 'avg_reward': np.float64(402.01399999999995), 'epsilon': np.float64(0.47592512401150294), 'max_position': 197, 'steps': 249}
{'episode': 158, 'reward': 1145.6000000000004, 'avg_reward': np.float64(411.0759999999999), 'epsilon': np.float64(0.47481289261107035), 'max_position': 197, 'steps': 239}
{'episode': 159, 'reward': 1152.7000000000003, 'avg_reward': np.float64(420.32399999999984), 'epsilon': np.float64(0.4736430387566336), 'max_position': 197, 'steps': 252}
{'episode': 160, 'reward': 246.00000000000006, 'avg_reward': np.float64(420.7409999999998), 'epsilon': np.float64(0.4713259961706389), 'max_position': 88, 'steps': 501}
{'episode': 161, 'reward': 1145.3000000000002, 'avg_reward': np.float64(429.9069999999999), 'epsilon': np.float64(0.47025696042049125), 'max_position': 197, 'steps': 232}
{'episode': 162, 'reward': 57.30000000000016, 'avg_reward': np.float64(428.2010000000001), 'epsilon': np.float64(0.4679568396623867), 'max_position': 91, 'steps': 501}
{'episode': 163, 'reward': 244.39999999999964, 'avg_reward': np.float64(428.501), 'epsilon': np.float64(0.46566821369079675), 'max_position': 70, 'steps': 501}
{'episode': 164, 'reward': 242.2999999999997, 'avg_reward': np.float64(429.149), 'epsilon': np.float64(0.46339102506086033), 'max_position': 71, 'steps': 501}
{'episode': 165, 'reward': 1169.0000000000002, 'avg_reward': np.float64(438.56800000000004), 'epsilon': np.float64(0.4618385578482228), 'max_position': 197, 'steps': 343}
{'episode': 166, 'reward': 250.50000000000003, 'avg_reward': np.float64(438.67400000000004), 'epsilon': np.float64(0.4595805078118491), 'max_position': 88, 'steps': 501}
{'episode': 167, 'reward': 249.1999999999999, 'avg_reward': np.float64(438.82199999999995), 'epsilon': np.float64(0.4573337423147832), 'max_position': 88, 'steps': 501}
{'episode': 168, 'reward': 244.89999999999972, 'avg_reward': np.float64(438.776), 'epsilon': np.float64(0.4550982049628683), 'max_position': 70, 'steps': 501}
{'episode': 169, 'reward': 245.2999999999998, 'avg_reward': np.float64(438.80799999999994), 'epsilon': np.float64(0.45287383964377603), 'max_position': 154, 'steps': 501}
{'episode': 170, 'reward': 242.79999999999959, 'avg_reward': np.float64(439.154), 'epsilon': np.float64(0.45066059052559765), 'max_position': 70, 'steps': 501}
